Question #,Question Prompt,Answer Choices,Correct Answer Choice
1.1,"Archaea are the third domain of life and have molecular features that are either unique to archaea or are similar to either eukaryotes or prokaryotes. For the following features found in archaea, indicate whether they are similar to prokaryotes or eukaryotes.

Archaea can contain a single circular chromosome, a feature commonly found in ____ (select the best answer):","Choice 1 of 2:prokaryotes

Choice 2 of 2:eukaryotes",1- prokaryotes
1.2,"Archaea contain histone proteins, a feature commonly found in ____ (select the best answer):","Choice 1 of 2:prokaryotes

Choice 2 of 2:eukaryotes",2- eukaryotes
1.3,"Archaea contain their genome in the cytoplasm, a feature commonly found in ____ (select the best answer):","Choice 1 of 2:prokaryotes

Choice 2 of 2:eukaryotes",1- prokaryotes
1.4,Which of the following statements about telomeres are true? Select all that apply.,"Choice 1 of 4:Telomerase extends the 5’ ends of DNA.
Choice 2 of 4:Since telomeres are repeats of the sequence 5’-TTAGGG-3’, the RNA template carried by telomerase must contain 5’-CCCUAA-3’
Choice 3 of 4:Telomeres serve as an important buffer between genes and chromosomal ends, preventing loss of genetic information.
Choice 4 of 4:Increased telomerase expression inhibits cancer cell division.","2 - Since telomeres are repeats of the sequence 5’-TTAGGG-3’, the RNA template carried by telomerase must contain 5’-CCCUAA-3’
3- Telomeres serve as an important buffer between genes and chromosomal ends, preventing loss of genetic information.

"
1.5,"Which of the following features apply to prokaryotic transcription only, not eukaryotic transcription? Select all that apply.
","Choice 1 of 5:occurs in the cytoplasm
Choice 2 of 5:occurs in the nucleus
Choice 3 of 5:involves RNA polymerase
Choice 4 of 5:transcribed mRNA can be translated immediately
Choice 5 of 5:transcribed mRNA must be processed prior to translation",1- occurs in the cytoplasm; 4- transcribed mRNA can be translated immediately
1.7,"Which of the following features could apply to BOTH eukaryotic and prokaryotic translation? Select all that apply.
","Choice 1 of 4:Translation occurs on free ribosomes.
Choice 2 of 4:Translation occurs on ribosomes attached to the ER.
Choice 3 of 4:Translation of one mRNA can produce one unique protein.
Choice 4 of 4:Translation begins with the ribosome binding to the 5’ cap of mRNA.","1- Translation occurs on free ribosomes.; 3- Translation of one mRNA can produce one unique protein.
"
2.1,"Inducible proteins are expressed when they are needed, while constitutive proteins are expressed all of the time.","Choice 1 of 2:true

Choice 2 of 2:false",1- true
2.2,"Gene regulation can occur via epigenetic changes, such as DNA methylation or use of regulatory proteins that modulate the transcription.","Choice 1 of 2:true

Choice 2 of 2:false","1- true
"
2.3,Increased expression and activity of a DNA methylase is likely to result in increased expression of its target gene(s).,"Choice 1 of 2:true

Choice 2 of 2:false",2- false
2.4,"In prokaryotes, old and methylated strands of DNA are used as a template to correct any mismatched nucleotides in the new and unmethylated strands after DNA replication is complete.","Choice 1 of 2:true

Choice 2 of 2:false",1- true
2.5,Modification of histones (proteins that DNA is wrapped around in eukaryotes) can regulate the expression of genes despite the DNA sequence being unchanged. Is this a form of epigenetics?,"Choice 1 of 2:true

Choice 2 of 2:false",1- true
2.6,Regulatory proteins bind to an operator site in order to impact gene expression of their downstream target gene(s) in prokaryotes.,"Choice 1 of 2:true

Choice 2 of 2:false",1- true
2.7,Which of the following best describes a co-repressor? Select the best answer.,"Choice 1 of 6:a molecule that increases the repressor’s affinity for DNA

Choice 2 of 6:a molecule that decreases the repressor’s affinity for DNA

Choice 3 of 6:a molecule that increases the activator’s affinity for DNA

Choice 4 of 6:a molecule that decreases the activator’s affinity for DNA

Choice 5 of 6:a protein that increases RNA polymerase’s affinity for DNA

Choice 6 of 6:a protein that decreases RNA polymerase’s affinity for DNA","1- a molecule that increases the repressor’s affinity for DNA
"
4.1,The viral particles for some viruses are different from others. Which of the following features are not universally present in all cases? Select all that apply.,"Choice 1 of 5:lipid envelope to surround protein coat
Choice 2 of 5:genome
Choice 3 of 5:spike proteins
Choice 4 of 5:capsid or protein coat
Choice 5 of 5:encapsulated viral proteins","1- lipid envelope to surround protein coat; 3- spike proteins; 5- encapsulated viral proteins
"
