Question #,Question Prompt,Answer Choices,Correct Answer Choice
1.1,Which of the following statements best describes the potency of embryonic stem cells? Select the best answer.,"1. Differentiated and cannot form any other type of cell 
2. Pluripotent and can form most cells of the organism’s body 
3. Multipotent and can form all cells that make up its particular tissue/organ","2-Pluripotent and can form all cells of the organism’s body

"
1.2,Which of the following statements best describes the potency of adult stem cells found in a particular tissue/organ? Select the best answer.,"1. Differentiated and cannot form any other type of cell 
2. Pluripotent and can form most cells of the organism’s body 
3. Multipotent and can form all cells that make up its particular tissue/organ","3- Multipotent and can form all cells that make up its particular tissue/organ
"
1.3,"Professor Guarente described a somatic cell nuclear transfer experiment in Xenopus laevis (frogs) that demonstrated adult cells can be reprogrammed.
Imagine you set out to validate this experimental finding in a different model organism - mice. You have two different lab strains of mice: wildtype with a black coat, and albino with a white coat.
Your experiments in mice result in transplanted mice pups that all have black coats.
Select the best answer to fill in the blanks in the following description of the experiment you conducted in mice:
You inserted the nucleus isolated from a skin cell of a(n) _____ mouse into an enucleated egg cell from a ____ mouse. You activated the development of the egg cell and transplanted it into a surrogate ____ mouse.","1. albino; albino 
2. wild-type wild-type 
3. wild-type; albino wild-type 
4. albino; albino wild-type 
5. albino; wild-type","3- wild-type; albino; albino
"
1.4,Which of the following statements regarding nuclear transfer are true? Select all that apply.,"1. Cloning by nuclear transfer is efficient.
2. Cloned organisms have low survival rates, and many die during development Cloned organisms that survive to adulthood may have subtle or serious
abnormalities.
3. Cloning by nuclear transfer involves transferring nuclei from an egg cell into an
enucleated skin cell.","2- Cloned organisms have low survival rates, and many die during development; 3- Cloned organisms that survive to adulthood may have subtle or serious abnormalities.
"
2.1,"You are reading a research paper detailing a DNA microarray experiment comparing the transcriptional profiles of wild-type skin cells versus induced pluripotent stem (iPS) cells generated from skin cells. The mRNA was isolated from the skin and iPS cells and reverse transcribed into cDNA. The cDNA was digested and labeled with either red (skin cells) or green (iPS cells) fluorophores, and hybridized on a DNA microarray with probes specific for host genes.
The authors of the paper made the following conclusions:
• Genes A and B significantly decreased in expression level in iPS cells compared
to skin cells
• Genes C and D displayed no significant difference in expression level between
iPS and skin cells
• Genes E, F, and G significantly increased in expression level in iPS cells
compared to skin cells

Based on these conclusions, what color did spots corresponding to genes A and B fluoresce in the DNA microarray? Select the best answer.","1. mostly red
2. mostly green
3. yellow (resulting from equal amounts of red and green)","1- red
"
2.2,"You are reading a research paper detailing a DNA microarray experiment comparing the transcriptional profiles of wild-type skin cells versus induced pluripotent stem (iPS) cells generated from skin cells. The mRNA was isolated from the skin and iPS cells and reverse transcribed into cDNA. The cDNA was digested and labeled with either red (skin cells) or green (iPS cells) fluorophores, and hybridized on a DNA microarray with probes specific for host genes.
The authors of the paper made the following conclusions:
• Genes A and B significantly decreased in expression level in iPS cells compared
to skin cells
• Genes C and D displayed no significant difference in expression level between
iPS and skin cells
• Genes E, F, and G significantly increased in expression level in iPS cells
compared to skin cells

Based on these conclusions, what color did spots corresponding to genes C and D fluoresce in the DNA microarray? Select the best answer.","1. mostly red
2. mostly green
3. yellow (resulting from equal amounts of red and green)","3- yellow (resulting from equal amounts of red and green)
"
2.3,"You are reading a research paper detailing a DNA microarray experiment comparing the transcriptional profiles of wild-type skin cells versus induced pluripotent stem (iPS) cells generated from skin cells. The mRNA was isolated from the skin and iPS cells and reverse transcribed into cDNA. The cDNA was digested and labeled with either red (skin cells) or green (iPS cells) fluorophores, and hybridized on a DNA microarray with probes specific for host genes.
The authors of the paper made the following conclusions:
• Genes A and B significantly decreased in expression level in iPS cells compared
to skin cells
• Genes C and D displayed no significant difference in expression level between
iPS and skin cells
• Genes E, F, and G significantly increased in expression level in iPS cells
compared to skin cells

Based on these conclusions, what color did spots corresponding to genes E, F, and G fluoresce in the DNA microarray? Select the best answer.","1. mostly red 
2. mostly green 
3. yellow (resulting from equal amounts of red and green)","2- green
"
3.1,"You are interested in developing a method of using induced pluripotent stem cells (iPS) cells to generate epithelial stem cells that can differentiate to form healthy skin tissue as an alternative for skin graft treatment (transplanting healthy skin tissue from one area of the patient’s body to another area with damaged skin).
Which of the following approaches might allow you to differentiate your iPS cells into epithelial stem cells? Select the best answer","1. You don’t need to do anything since the iPS cells will always differentiate into epithelial stem cells. 
2. You introduce a set of transcription factors expressed in embryonic stem cells to your iPS cells. 
3. You introduce a set of transcription factors and/or signaling proteins to your iPS cells that are involved in restricting cells to an epithelial state.","3- You introduce a set of transcription factors and/or signaling proteins to your iPS cells that are involved in restricting cells to an epithelial state.
"
4.1,Which of the following features are true for the adaptive immune response and NOT the innate immune response? Select all that apply.,"1. targets first-time pathogens quickly (within hours of exposure) generates immunological memory 
2. targets pathogens 
3. changes with exposure to pathogens","2- generates immunological memory;
4- changes with exposure to pathogens
"
4.2,Which of the following are innate immune cells? Select all that apply.,"1. B cells 
2. phagocytes 
3. helper T cells 
4. killer T cells","2- phagocytes
"
4.3,What is the function of a B cell? Select the best answer. ,"1. phagocytoses (engulfs) pathogens 
2. lyses (kills) virus-infected or cancerous somatic cells 
3. activates B cells 
4. produces antibodies","4- produces antibodies
"
4.4,What is the function of a helper T cell? Select the best answer. ,"1. phagocytoses (engulfs) pathogens 
2. lyses (kills) virus-infected or cancerous somatic cells 
3. activates B cells 
4. produces antibodies","3- activates B cells
"
4.5,What is the function of a killer T cell? Select the best answer. ,"1. phagocytoses (engulfs) pathogens 
2. lyses (kills) virus-infected or cancerous somatic cells 
3. activates B cells 
4. produces antibodies","2- lyses (kills) virus-infected or cancerous somatic cells
"
4.6,Which of the following statements regarding antigens are true? Select all that apply.,"1. antigens are molecules that are registered as ‘non-self’ 
2. antigens are molecules that cause an immune response 
3. one antigen can contain multiple epitopes (sub-regions) recognized by the immune system 
4. antigens are always proteins","1- antigens are molecules that are registered as ‘non-self’; 2- antigens are molecules that cause an immune response; 3- one antigen can contain multiple epitopes (sub-regions) recognized by the immune system
"
5.1,Which of the following receptors is found on all cells and is used to present antigens to immune cells? Select the best answer.,"1. Major histocompatibility complex (MHC) I 
2. Major histocompatibility complex (MHC) II","1- Major histocompatibility complex (MHC) I
"
